epoch,elbo,nll,kl,prior_std
315,[6018.6787],852.8971,[5165.7812],0.0050223996,0.0528373661168559
316,[6019.0825],861.11615,[5157.9663],0.0050223996,0.05284600624489298
317,[5972.834],822.64087,[5150.1934],0.0050223996,0.0528546442892277
318,[5988.777],846.32904,[5142.448],0.0050223996,0.05286328025238438
319,[5976.5654],841.8362,[5134.729],0.0050223996,0.05287191413746627
320,[5978.724],851.70044,[5127.0234],0.0050223996,0.05288054594703687
321,[5961.911],842.5704,[5119.341],0.0050223996,0.05288917568343404
322,[5967.2427],855.56134,[5111.6816],0.0050223996,0.05289780334914183
323,[5924.827],820.7901,[5104.037],0.0050223996,0.052906428946762944
324,[5921.616],825.2343,[5096.382],0.0050223996,0.0529150524778987
325,[5926.3325],837.58435,[5088.748],0.0050223996,0.05292367394431166
326,[5922.67],841.5349,[5081.135],0.0050223996,0.052932293347747794
327,[5905.165],831.6074,[5073.5576],0.0050223996,0.052940910690621824
328,[5927.288],861.2737,[5066.014],0.0050223996,0.052949525975516776
329,[5919.421],860.9309,[5058.49],0.0050223996,0.05295813920422973
330,[5906.04],855.03595,[5051.004],0.0050223996,0.05296675037838734
331,[5896.582],853.0449,[5043.5366],0.0050223996,0.05297535949951375
332,[5885.8857],849.8056,[5036.08],0.0050223996,0.05298396656877669
333,[5859.0234],830.3982,[5028.625],0.0050223996,0.052992571587659645
334,[5851.62],830.453,[5021.167],0.0050223996,0.05300117455650773
335,[5820.63],806.88806,[5013.7417],0.0050223996,0.053009775476992996
336,[5836.164],829.8399,[5006.324],0.0050223996,0.053018374351639
337,[5850.034],851.1059,[4998.9287],0.0050223996,0.0530269711829765
338,[5827.856],836.2909,[4991.565],0.0050223996,0.05303556597373617
339,[5812.0327],827.79913,[4984.2334],0.0050223996,0.053044158726813465
340,[5805.16],828.2346,[4976.9253],0.0050223996,0.05305274944561826
341,[5821.5464],851.916,[4969.6304],0.0050223996,0.05306133813328983
342,[5776.0225],813.6542,[4962.368],0.0050223996,0.053069924792885206
343,[5781.749],826.6495,[4955.0996],0.0050223996,0.05307850942667884
344,[5777.9653],830.11646,[4947.8486],0.0050223996,0.05308709203704848
345,[5765.465],824.8508,[4940.614],0.0050223996,0.053095672626265134
346,[5765.2563],831.84546,[4933.4106],0.0050223996,0.05310425119641526
347,[5780.086],853.85034,[4926.236],0.0050223996,0.053112827750164696
348,[5743.212],824.1335,[4919.078],0.0050223996,0.053121402289925054
349,[5759.262],847.34534,[4911.917],0.0050223996,0.05312997481757111
350,[5727.1406],822.35315,[4904.787],0.0050223996,0.05313854533464166
351,[5745.482],847.8159,[4897.666],0.0050223996,0.053147113842786586
352,[5755.7783],865.21124,[4890.5674],0.0050223996,0.053155680343308725
353,[5719.336],835.82825,[4883.508],0.0050223996,0.053164244837734034
354,[5733.8013],857.32153,[4876.48],0.0050223996,0.05317280732787086
355,[5694.031],824.5573,[4869.4736],0.0050223996,0.05318136781576034
356,[5680.941],818.4868,[4862.454],0.0050223996,0.053189926303607846
357,[5679.2974],823.85535,[4855.4424],0.0050223996,0.053198482793217386
358,[5677.785],829.3645,[4848.4204],0.0050223996,0.05320703728615214
359,[5681.574],840.1661,[4841.408],0.0050223996,0.0532155897838608
360,[5668.7983],834.3628,[4834.4355],0.0050223996,0.05322414028842529
361,[5651.8066],824.30664,[4827.5],0.0050223996,0.05323268880230586
362,[5661.82],841.24243,[4820.5776],0.0050223996,0.05324123532843829
363,[5638.8853],825.21063,[4813.675],0.0050223996,0.053249779869692954
364,[5628.8066],822.041,[4806.7656],0.0050223996,0.05325832242838468
365,[5640.329],840.47266,[4799.8564],0.0050223996,0.05326686300634974
366,[5617.9023],824.9383,[4792.964],0.0050223996,0.053275401605577935
367,[5640.409],854.3203,[4786.0884],0.0050223996,0.0532839382285074
368,[5612.8745],833.62537,[4779.249],0.0050223996,0.053292472877782895
369,[5607.9326],835.5148,[4772.418],0.0050223996,0.05330100555573279
370,[5595.278],829.6865,[4765.5913],0.0050223996,0.05330953626396401
371,[5591.5557],832.7704,[4758.785],0.0050223996,0.053318065004176574
372,[5620.6504],868.6405,[4752.01],0.0050223996,0.05332659177842747
373,[5586.925],841.65015,[4745.2744],0.0050223996,0.053335116588462045
374,[5579.2183],840.63556,[4738.5825],0.0050223996,0.05334363943603998
375,[5561.245],829.34216,[4731.903],0.0050223996,0.05335216032354381
376,[5586.176],860.93774,[4725.2383],0.0050223996,0.053360679253233234
377,[5579.84],861.23627,[4718.6035],0.0050223996,0.05336919622766162
378,[5536.37],824.3813,[4711.989],0.0050223996,0.05337771124919025
379,[5543.912],838.52106,[4705.391],0.0050223996,0.05338622432115456
380,[5529.6772],830.87054,[4698.8066],0.0050223996,0.05339473544658237
381,[5528.538],836.3098,[4692.2285],0.0050223996,0.05340324462865824
382,[5518.3315],832.6699,[4685.6616],0.0050223996,0.05341175186966085
383,[5501.4653],822.34644,[4679.119],0.0050223996,0.05342025717239143
384,[5503.8647],831.2699,[4672.5947],0.0050223996,0.053428760539888674
385,[5507.134],841.0565,[4666.077],0.0050223996,0.05343726197550254
386,[5499.1675],839.5829,[4659.5845],0.0050223996,0.05344576148154308
387,[5505.323],852.2185,[4653.1045],0.0050223996,0.053454259060895834
388,[5487.338],840.69415,[4646.6436],0.0050223996,0.05346275471522023
389,[5481.674],841.45764,[4640.2163],0.0050223996,0.05347124844720389
